UTC 2023-10-29 02:13:04.753603,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.755320,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.757075,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.758824,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.760601,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.762211,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.763974,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.765709,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.767363,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.769100,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.770786,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.772527,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.774279,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.776102,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.777730,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.779457,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.781119,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.782922,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.784578,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.786319,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.788090,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.789818,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.791532,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.793304,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.794992,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.796642,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.798381,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.800072,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.801835,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.803510,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.805341,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.807126,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.808810,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.810441,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.812158,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.814175,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.815573,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.817305,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.819011,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.820749,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.822503,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.824444,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.826284,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.827673,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.829380,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.831083,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.832788,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.834508,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.836272,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.837969,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.839669,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.841495,V:0.00	 Sampling FPS:580,0.00,580
